Time,Sine Wave,Current (A)
0.224,1.986685944207868,1.5306458726952914e+27
0.2245,1.987192013994819,1.5607305421895306e+27
0.225,1.9876883405951375,1.590810273732223e+27
0.2255,1.9881749191102804,1.620861909762211e+27
0.226,1.988651744737914,1.6508618717287777e+27
0.2265,1.9891188127719617,1.680786188328774e+27
0.227,1.9895761186026508,1.7106105250568998e+27
0.2275,1.990023657716557,1.7403102150259428e+27
0.228,1.990461425696651,1.7698602910086053e+27
0.2285,1.990889418222339,1.799235518649167e+27
0.229,1.9913076310695064,1.8284104307882806e+27
0.2295,1.9917160601105628,1.857359362841264e+27
0.23,1.992114701314477,1.8860564891640792e+27
0.2305,1.992503550746824,1.9144758603407746e+27
0.231,1.9928826045698136,1.9425914413180396e+27
0.2315,1.9932518590423396,1.970377150314583e+27
0.232,1.9936113105200084,1.9978068984232596e+27
0.2325,1.9939609554551796,2.024854629826941e+27
0.233,1.994300790396999,2.051494362541394e+27
0.2335,1.994630811991432,2.0777002295984123e+27
0.234,1.9949510169813,2.1034465205797835e+27
0.2345,1.995261402206308,2.1287077234082177e+27
0.235,1.99556196460308,2.1534585663028806e+27
0.2355,1.9958527012051857,2.177674059802393e+27
0.236,1.9961336091431725,2.201329538758407e+27
0.2365,1.9964046856445925,2.224400704201384e+27
0.237,1.9966659280340295,2.246863664978825e+27
0.2375,1.996917333733128,2.268694979066985e+27
0.238,1.9971589002606136,2.2898716944543597e+27
0.2385,1.9973906252323237,2.3103713894993017e+27
0.239,1.997612506361225,2.330172212659513e+27
0.2395,1.9978245414574411,2.349252921496865e+27
0.24,1.998026728428272,2.367592920857947e+27
0.2405,1.998219065278212,2.38517230013454e+27
0.241,1.9984015501089751,2.4019718695095593e+27
0.2415,1.99857418111951,2.417973195094409e+27
0.242,1.9987369566060176,2.433158632868198e+27
0.2425,1.99888987496197,2.447511361330123e+27
0.243,1.9990329346781248,2.4610154127803032e+27
0.2435,1.9991661343425404,2.47365570314646e+27
0.244,1.9992894726405892,2.485418060278648e+27
0.2445,1.999402948354973,2.4962892506366286e+27
0.245,1.999506560365732,2.506257004298923e+27
0.2455,1.9996003076502569,2.5153100382272885e+27
0.246,1.9996841892833,2.52343807772454e+27
0.2465,1.999758204436984,2.5306318760270904e+27
0.247,1.9998223523808087,2.536883231980602e+27
0.2475,1.9998766324816608,2.542185005750714e+27
0.248,1.999921044203816,2.5465311325258944e+27
0.2485,1.9999555871089496,2.54991663417643e+27
0.249,1.999980260856137,2.552337628836503e+27
0.2495,1.999995065201858,2.5537913383842734e+27
0.25,2.0,2.5542760937996074e+27
0.2505,1.999995065201858,2.5537913383842734e+27
0.251,1.999980260856137,2.552337628836503e+27
0.2515,1.9999555871089496,2.54991663417643e+27
0.252,1.999921044203816,2.5465311325258944e+27
0.2525,1.9998766324816608,2.542185005750714e+27
0.253,1.9998223523808087,2.536883231980602e+27
0.2535,1.999758204436984,2.5306318760270904e+27
0.254,1.9996841892833,2.52343807772454e+27
0.2545,1.9996003076502569,2.5153100382272885e+27
0.255,1.999506560365732,2.506257004298923e+27
0.2555,1.999402948354973,2.4962892506366286e+27
0.256,1.9992894726405892,2.485418060278648e+27
0.2565,1.99916613434254,2.47365570314646e+27
0.257,1.9990329346781248,2.4610154127803032e+27
0.2575,1.99888987496197,2.447511361330123e+27
0.258,1.9987369566060176,2.433158632868198e+27
0.2585,1.9985741811195097,2.417973195094375e+27
0.259,1.9984015501089751,2.4019718695095593e+27
0.2595,1.998219065278212,2.38517230013454e+27
0.26,1.998026728428272,2.367592920857947e+27
0.2605,1.9978245414574411,2.349252921496865e+27
0.261,1.997612506361225,2.330172212659513e+27
0.2615,1.9973906252323237,2.3103713894993017e+27
0.262,1.9971589002606136,2.2898716944543597e+27
0.2625,1.996917333733128,2.268694979066985e+27
0.263,1.9966659280340295,2.246863664978825e+27
0.2635,1.9964046856445925,2.224400704201384e+27
0.264,1.9961336091431725,2.201329538758407e+27
0.2645,1.9958527012051857,2.177674059802393e+27
0.265,1.99556196460308,2.1534585663028806e+27
