Voltage (V),Current (A)
0.6200000000000023,22711.877128249394
0.6300000000000026,33364.864786522056
0.6400000000000023,49014.6277179903
0.6500000000000021,72004.89933639175
0.6600000000000024,105778.73932377594
0.6700000000000026,155394.1717304288
0.6800000000000024,228281.68270988917
0.6900000000000022,335357.0219559259
0.7000000000000024,492655.9627564335
0.7100000000000026,723735.8449327255
0.7200000000000024,1063203.5595585175
0.7300000000000022,1561898.332067301
0.7400000000000024,2294505.485598082
0.7500000000000027,3370741.4339005095
0.7600000000000025,4951784.986145449
0.7700000000000022,7274415.742011042
0.7800000000000025,10686474.581524486
0.7900000000000027,15698956.869077168
0.8000000000000025,23062539.93278857
0.8100000000000023,33880005.696373984
0.8200000000000025,49771395.05585923
0.8300000000000027,73116627.78355208
0.8400000000000025,107411923.10238534
0.8500000000000023,157793399.04333147
0.8600000000000025,231806265.65930486
0.8700000000000028,340534807.69595397
0.8800000000000026,500262384.72326916
0.8900000000000023,734910052.9907019
0.9000000000000026,1079619020.8975317
0.9100000000000028,1586013452.3135986
0.9200000000000026,2329931783.554977
0.9300000000000024,3422784408.354624
0.9400000000000026,5028238675.812355
0.9500000000000028,7386729973.182655
0.9600000000000026,10851469712.284296
0.9700000000000024,15941342832.908075
0.9800000000000026,23418616837.554623
0.9900000000000029,34403100186.26894
1.0000000000000027,50539846594.5451
1.0100000000000025,74245520896.96855
1.0200000000000027,109070322620.59299
1.030000000000003,160229669518.63577
1.0400000000000027,235385266837.04504
1.0500000000000025,345792536490.8925
1.0600000000000027,507986246970.9571
1.070000000000003,746256786599.0789
1.0800000000000027,1096287930757.7291
1.0900000000000025,1610500900906.029
1.1000000000000028,2365905050169.139
1.110000000000003,3475630906674.323
1.1200000000000028,5105872781566.616
1.1300000000000026,7500778293655.982
1.1400000000000028,11019012305535.627
1.150000000000003,16187471144459.656
1.1600000000000028,23780191435222.56
1.1700000000000026,34934271057488.566
1.1800000000000028,51320162734707.086
1.190000000000003,75391843693622.5
1.2000000000000028,110754327200906.66
1.2100000000000026,162703555089780.16
1.2200000000000029,239019526441012.84
1.230000000000003,351131442632346.9
1.2400000000000029,515829362734088.9
1.2500000000000027,757778709488156.1
1.260000000000003,1113214202289534.2
1.2700000000000031,1635366426454731.5
1.280000000000003,2402433730431058.5
1.2900000000000027,3529293334965390.5
1.300000000000003,5184705528587662.0
1.3100000000000032,7616587477116315.0
1.320000000000003,1.1189141693138182e+16
1.3300000000000027,1.643739958416687e+16
1.340000000000003,2.4147348608094724e+16
1.3500000000000032,3.547364300631306e+16
1.360000000000003,5.211252666131174e+16
1.3700000000000028,7.65558652812345e+16
1.380000000000003,1.124643321758125e+17
1.3900000000000032,1.6521563651964688e+17
1.400000000000003,2.427098976404382e+17
1.4100000000000028,3.565527794678588e+17
1.420000000000003,5.23793573241889e+17
1.4300000000000033,7.694785265143002e+17
1.440000000000003,1.1304018090599562e+18
1.4500000000000028,1.6606158663249784e+18
1.460000000000003,2.439526399717619e+18
1.4700000000000033,3.583784290878595e+18
1.480000000000003,5.264755423443944e+18
1.4900000000000029,7.73418471062247e+18
1.500000000000003,1.1361897814219434e+19
1.5100000000000033,1.669118682457412e+19
1.5200000000000031,2.4520174549023818e+19
1.530000000000003,3.6021342654280184e+19
1.5400000000000031,5.291712438762999e+19
1.5500000000000034,7.77378589224567e+19
1.5600000000000032,1.1420073898158304e+20
1.570000000000003,1.6776650353785448e+20
1.5800000000000032,2.4645724677715562e+20
1.5900000000000034,3.6205781969623194e+20
1.6000000000000032,5.318807481514758e+20
1.610000000000003,7.813589842957334e+20
1.6200000000000032,1.1478547859863444e+21
1.6300000000000034,1.6862551480089903e+21
1.6400000000000032,2.477191765806332e+21
1.650000000000003,3.639116566567196e+21
1.6600000000000033,5.346041258438189e+21
1.6700000000000035,7.853597600992277e+21
1.6800000000000033,1.1537321224552137e+22
1.690000000000003,1.6948892444105262e+22
1.7000000000000033,2.4898756781646933e+22
1.7100000000000035,3.657749857792124e+22
1.7200000000000033,5.373414479890887e+22
1.730000000000003,7.893810209900246e+22
1.7400000000000033,1.1596395525251118e+23
1.7500000000000036,1.7035675497924775e+23
1.7600000000000033,2.5026245356899536e+23
1.7700000000000031,3.676478556662052e+23
1.7800000000000034,5.4009278598676716e+23
1.7900000000000036,7.934228718575315e+23
1.8000000000000034,1.1655772302836808e+24
1.8100000000000032,1.7122902905169905e+24
1.8200000000000034,2.5154386709194886e+24
1.8300000000000036,3.695303151690977e+24
1.8400000000000034,5.428582116019295e+24
1.8500000000000032,7.974854181281237e+24
